Year,Units,Регионы,Value
2010,на 100 тыс.родившихся живыми,,22.7
2011,на 100 тыс.родившихся живыми,,17.4
2012,на 100 тыс.родившихся живыми,,13.5
2013,на 100 тыс.родившихся живыми,,13.1
2014,на 100 тыс.родившихся живыми,,15.209315082155198
2015,на 100 тыс.родившихся живыми,,16.549690445562803
2016,на 100 тыс.родившихся живыми,,15.416634548678026
2017,на 100 тыс.родившихся живыми,,14.812204234758115
2018,на 100 тыс.родившихся живыми,,14.0
2011,на 100 тыс.родившихся живыми,Акмолинская,23.3
2012,на 100 тыс.родившихся живыми,Акмолинская,8.2
2013,на 100 тыс.родившихся живыми,Акмолинская,25.4
2014,на 100 тыс.родившихся живыми,Акмолинская,16.939103921402562
2015,на 100 тыс.родившихся живыми,Акмолинская,25.893319523562923
2016,на 100 тыс.родившихся живыми,Акмолинская,0.0
2017,на 100 тыс.родившихся живыми,Акмолинская,17.809439002671414
2018,на 100 тыс.родившихся живыми,Акмолинская,35.9
2010,на 100 тыс.родившихся живыми,Актюбинская,34.5
2011,на 100 тыс.родившихся живыми,Актюбинская,16.9
2013,на 100 тыс.родившихся живыми,Актюбинская,21.3
2014,на 100 тыс.родившихся живыми,Актюбинская,10.105603557172454
2015,на 100 тыс.родившихся живыми,Актюбинская,15.021781583295779
2016,на 100 тыс.родившихся живыми,Актюбинская,20.193861066235865
2017,на 100 тыс.родившихся живыми,Актюбинская,5.2521008403361344
2018,на 100 тыс.родившихся живыми,Актюбинская,5.1
2010,на 100 тыс.родившихся живыми,Алматинская,16.1
2011,на 100 тыс.родившихся живыми,Алматинская,18.9
2012,на 100 тыс.родившихся живыми,Алматинская,7.9
2013,на 100 тыс.родившихся живыми,Алматинская,5.1
2014,на 100 тыс.родившихся живыми,Алматинская,14.492753623188404
2015,на 100 тыс.родившихся живыми,Алматинская,17.17749257686928
2016,на 100 тыс.родившихся живыми,Алматинская,14.472129091391494
2017,на 100 тыс.родившихся живыми,Алматинская,25.085919273511774
2018,на 100 тыс.родившихся живыми,Алматинская,14.8
2010,на 100 тыс.родившихся живыми,Атырауская,20.4
2011,на 100 тыс.родившихся живыми,Атырауская,6.6
2012,на 100 тыс.родившихся живыми,Атырауская,6.4
2013,на 100 тыс.родившихся живыми,Атырауская,25.3
2014,на 100 тыс.родившихся живыми,Атырауская,12.295585884667403
2015,на 100 тыс.родившихся живыми,Атырауская,36.76245328104896
2016,на 100 тыс.родившихся живыми,Атырауская,30.140454518054128
2017,на 100 тыс.родившихся живыми,Атырауская,18.404907975460123
2018,на 100 тыс.родившихся живыми,Атырауская,5.9
2010,на 100 тыс.родившихся живыми,Западно-Казахстанская,8.3
2013,на 100 тыс.родившихся живыми,Западно-Казахстанская,7.9
2014,на 100 тыс.родившихся живыми,Западно-Казахстанская,23.09646624066518
2015,на 100 тыс.родившихся живыми,Западно-Казахстанская,38.580246913580254
2016,на 100 тыс.родившихся живыми,Западно-Казахстанская,22.779043280182233
2017,на 100 тыс.родившихся живыми,Западно-Казахстанская,7.76457799518596
2018,на 100 тыс.родившихся живыми,Западно-Казахстанская,7.6
2010,на 100 тыс.родившихся живыми,Жамбылская,29.4
2011,на 100 тыс.родившихся живыми,Жамбылская,22.5
2012,на 100 тыс.родившихся живыми,Жамбылская,18.7
2013,на 100 тыс.родившихся живыми,Жамбылская,14.8
2014,на 100 тыс.родившихся живыми,Жамбылская,18.113316910592673
2015,на 100 тыс.родившихся живыми,Жамбылская,3.781147200060498
2016,на 100 тыс.родившихся живыми,Жамбылская,11.533138551437798
2017,на 100 тыс.родившихся живыми,Жамбылская,12.22593528404923
2018,на 100 тыс.родившихся живыми,Жамбылская,8.0
2010,на 100 тыс.родившихся живыми,Карагандинская,4.2
2011,на 100 тыс.родившихся живыми,Карагандинская,8.2
2012,на 100 тыс.родившихся живыми,Карагандинская,16.2
2013,на 100 тыс.родившихся живыми,Карагандинская,4.1
2014,на 100 тыс.родившихся живыми,Карагандинская,16.0655474335288
2015,на 100 тыс.родившихся живыми,Карагандинская,32.725190215168126
2016,на 100 тыс.родившихся живыми,Карагандинская,29.373505098401235
2017,на 100 тыс.родившихся живыми,Карагандинская,13.226346882990914
2018,на 100 тыс.родившихся живыми,Карагандинская,26.2
2010,на 100 тыс.родившихся живыми,Костанайская,15.4
2011,на 100 тыс.родившихся живыми,Костанайская,15.7
2013,на 100 тыс.родившихся живыми,Костанайская,15.3
2014,на 100 тыс.родившихся живыми,Костанайская,15.730690577316347
2015,на 100 тыс.родившихся живыми,Костанайская,0.0
2016,на 100 тыс.родившихся живыми,Костанайская,32.725190215168126
2017,на 100 тыс.родившихся живыми,Костанайская,17.08233686368295
2018,на 100 тыс.родившихся живыми,Костанайская,8.7
2010,на 100 тыс.родившихся живыми,Кызылординская,35.0
2011,на 100 тыс.родившихся живыми,Кызылординская,10.4
2012,на 100 тыс.родившихся живыми,Кызылординская,15.0
2013,на 100 тыс.родившихся живыми,Кызылординская,10.6
2014,на 100 тыс.родившихся живыми,Кызылординская,10.012014417300762
2015,на 100 тыс.родившихся живыми,Кызылординская,48.761987321883296
2016,на 100 тыс.родившихся живыми,Кызылординская,5.335325188070213
2017,на 100 тыс.родившихся живыми,Кызылординская,0.0
2018,на 100 тыс.родившихся живыми,Кызылординская,10.7
2010,на 100 тыс.родившихся живыми,Мангистауская,6.5
2011,на 100 тыс.родившихся живыми,Мангистауская,24.7
2012,на 100 тыс.родившихся живыми,Мангистауская,5.9
2013,на 100 тыс.родившихся живыми,Мангистауская,11.0
2014,на 100 тыс.родившихся живыми,Мангистауская,26.55478251633119
2015,на 100 тыс.родившихся живыми,Мангистауская,5.236424569304079
2016,на 100 тыс.родившихся живыми,Мангистауская,5.052801778586227
2017,на 100 тыс.родившихся живыми,Мангистауская,10.298130889243602
2018,на 100 тыс.родившихся живыми,Мангистауская,25.1
2010,на 100 тыс.родившихся живыми,Южно-Казахстанская,26.7
2011,на 100 тыс.родившихся живыми,Южно-Казахстанская,16.8
2012,на 100 тыс.родившихся живыми,Южно-Казахстанская,20.6
2013,на 100 тыс.родившихся живыми,Южно-Казахстанская,10.2
2014,на 100 тыс.родившихся живыми,Южно-Казахстанская,15.487068297971193
2015,на 100 тыс.родившихся живыми,Южно-Казахстанская,15.648227838197323
2016,на 100 тыс.родившихся живыми,Южно-Казахстанская,15.989766549408376
2017,на 100 тыс.родившихся живыми,Южно-Казахстанская,16.798252981689902
2010,на 100 тыс.родившихся живыми,Павлодарская,16.3
2011,на 100 тыс.родившихся живыми,Павлодарская,7.8
2012,на 100 тыс.родившихся живыми,Павлодарская,15.5
2013,на 100 тыс.родившихся живыми,Павлодарская,15.4
2014,на 100 тыс.родившихся живыми,Павлодарская,0.0
2015,на 100 тыс.родившихся живыми,Павлодарская,13.059945148230376
2016,на 100 тыс.родившихся живыми,Павлодарская,0.0
2017,на 100 тыс.родившихся живыми,Павлодарская,28.498147620404676
2018,на 100 тыс.родившихся живыми,Павлодарская,8.5
2010,на 100 тыс.родившихся живыми,Северо-Казахстанская,24.0
2012,на 100 тыс.родившихся живыми,Северо-Казахстанская,12.2
2013,на 100 тыс.родившихся живыми,Северо-Казахстанская,12.5
2014,на 100 тыс.родившихся живыми,Северо-Казахстанская,17.691734169057156
2015,на 100 тыс.родившихся живыми,Северо-Казахстанская,15.165876777251187
2016,на 100 тыс.родившихся живыми,Северо-Казахстанская,18.940589683692156
2017,на 100 тыс.родившихся живыми,Северо-Казахстанская,18.335887260487468
2018,на 100 тыс.родившихся живыми,Северо-Казахстанская,14.8
2018,на 100 тыс.родившихся живыми,Туркестанская,10.3
2010,на 100 тыс.родившихся живыми,Восточно-Казахстанская,21.5
2011,на 100 тыс.родившихся живыми,Восточно-Казахстанская,22.4
2012,на 100 тыс.родившихся живыми,Восточно-Казахстанская,13.2
2013,на 100 тыс.родившихся живыми,Восточно-Казахстанская,8.9
2014,на 100 тыс.родившихся живыми,Восточно-Казахстанская,25.83200585525466
2015,на 100 тыс.родившихся живыми,Восточно-Казахстанская,22.251891410769915
2016,на 100 тыс.родившихся живыми,Восточно-Казахстанская,17.755681818181817
2017,на 100 тыс.родившихся живыми,Восточно-Казахстанская,18.368846436443796
2018,на 100 тыс.родившихся живыми,Восточно-Казахстанская,14.0
2010,на 100 тыс.родившихся живыми,г.Нур-Султан,27.6
2011,на 100 тыс.родившихся живыми,г.Нур-Султан,10.4
2013,на 100 тыс.родившихся живыми,г.Нур-Султан,17.7
2014,на 100 тыс.родившихся живыми,г.Нур-Султан,16.335198268468982
2015,на 100 тыс.родившихся живыми,г.Нур-Султан,7.659900421294522
2016,на 100 тыс.родившихся живыми,г.Нур-Султан,11.020093303456639
2017,на 100 тыс.родившихся живыми,г.Нур-Султан,6.503219093451259
2018,на 100 тыс.родившихся живыми,г.Нур-Султан,29.0
2010,на 100 тыс.родившихся живыми,г.Алматы,6.0
2011,на 100 тыс.родившихся живыми,г.Алматы,15.5
2012,на 100 тыс.родившихся живыми,г.Алматы,13.0
2013,на 100 тыс.родившихся живыми,г.Алматы,10.2
2014,на 100 тыс.родившихся живыми,г.Алматы,4.8050356773899034
2015,на 100 тыс.родившихся живыми,г.Алматы,2.3766517729822225
2016,на 100 тыс.родившихся живыми,г.Алматы,7.939343416299473
2017,на 100 тыс.родившихся живыми,г.Алматы,14.729709824716453
2018,на 100 тыс.родившихся живыми,г.Алматы,8.9
2018,на 100 тыс.родившихся живыми,г.Шымкент,19.6
